Image,target
189.jpg,kuchipudi
162.jpg,kuchipudi
360.jpg,kathak
374.jpg,kuchipudi
200.jpg,kuchipudi
215.jpg,kuchipudi
375.jpg,kuchipudi
349.jpg,kathak
48.jpg,kuchipudi
175.jpg,kuchipudi
439.jpg,kuchipudi
411.jpg,kuchipudi
363.jpg,kuchipudi
217.jpg,kuchipudi
216.jpg,kuchipudi
202.jpg,kuchipudi
410.jpg,kuchipudi
438.jpg,kuchipudi
61.jpg,kuchipudi
59.jpg,kuchipudi
71.jpg,kathak
170.jpg,kuchipudi
414.jpg,kuchipudi
366.jpg,kuchipudi
206.jpg,kuchipudi
429.jpg,kuchipudi
401.jpg,kuchipudi
373.jpg,kuchipudi
398.jpg,kuchipudi
171.jpg,kuchipudi
64.jpg,kuchipudi
198.jpg,kuchipudi
173.jpg,kuchipudi
239.jpg,kuchipudi
238.jpg,kuchipudi
210.jpg,kuchipudi
358.jpg,kuchipudi
416.jpg,kuchipudi
67.jpg,kuchipudi
9.jpg,kuchipudi
14.jpg,kuchipudi
28.jpg,kathak
129.jpg,kuchipudi
465.jpg,kuchipudi
317.jpg,kuchipudi
505.jpg,kuchipudi
510.jpg,kuchipudi
316.jpg,kuchipudi
470.jpg,kuchipudi
302.jpg,kuchipudi
458.jpg,kuchipudi
114.jpg,kuchipudi
128.jpg,kuchipudi
17.jpg,kuchipudi
506.jpg,kuchipudi
275.jpg,kuchipudi
507.jpg,kuchipudi
301.jpg,kuchipudi
467.jpg,kuchipudi
473.jpg,kuchipudi
498.jpg,kuchipudi
463.jpg,kuchipudi
517.jpg,kuchipudi
271.jpg,kuchipudi
270.jpg,kuchipudi
264.jpg,kathak
112.jpg,kuchipudi
13.jpg,kathak
11.jpg,kuchipudi
110.jpg,kuchipudi
138.jpg,kuchipudi
306.jpg,kuchipudi
460.jpg,kathak
448.jpg,kuchipudi
514.jpg,kathak
461.jpg,kathak
38.jpg,kuchipudi
35.jpg,kuchipudi
108.jpg,kuchipudi
487.jpg,kuchipudi
518.jpg,kuchipudi
256.jpg,kathak
280.jpg,kuchipudi
323.jpg,kuchipudi
479.jpg,kathak
34.jpg,kuchipudi
20.jpg,kuchipudi
484.jpg,kuchipudi
447.jpg,kuchipudi
269.jpg,kuchipudi
283.jpg,kuchipudi
485.jpg,kuchipudi
23.jpg,kathak
33.jpg,kuchipudi
132.jpg,kuchipudi
495.jpg,kathak
330.jpg,kuchipudi
456.jpg,kuchipudi
324.jpg,kuchipudi
318.jpg,kuchipudi
278.jpg,kuchipudi
292.jpg,kuchipudi
286.jpg,kuchipudi
457.jpg,kuchipudi
125.jpg,kuchipudi
119.jpg,kathak
482.jpg,kuchipudi
441.jpg,kuchipudi
290.jpg,kuchipudi
284.jpg,kuchipudi
508.jpg,kuchipudi
520.jpg,kuchipudi
246.jpg,kuchipudi
285.jpg,kuchipudi
291.jpg,kuchipudi
332.jpg,kuchipudi
440.jpg,kuchipudi
194.jpg,kuchipudi
95.jpg,kuchipudi
157.jpg,kuchipudi
220.jpg,kuchipudi
354.jpg,kathak
340.jpg,kuchipudi
80.jpg,kathak
57.jpg,kuchipudi
55.jpg,kuchipudi
41.jpg,kuchipudi
183.jpg,kuchipudi
424.jpg,kuchipudi
431.jpg,kathak
380.jpg,kuchipudi
394.jpg,kuchipudi
97.jpg,kathak
196.jpg,kuchipudi
40.jpg,kuchipudi
6.jpg,kuchipudi
145.jpg,kathak
390.jpg,kuchipudi
421.jpg,kuchipudi
232.jpg,kuchipudi
226.jpg,kuchipudi
346.jpg,kuchipudi
385.jpg,kuchipudi
86.jpg,kuchipudi
92.jpg,kathak
150.jpg,kuchipudi
45.jpg,kuchipudi
193.jpg,kuchipudi
146.jpg,kuchipudi
152.jpg,kuchipudi
378.jpg,kuchipudi
224.jpg,kuchipudi
437.jpg,kuchipudi
392.jpg,kuchipudi
386.jpg,kuchipudi
147.jpg,kuchipudi
